artist,title,lovedCount,postedcount,date
Wild Cub,Thunder Clatter,4627,28,5/7/2014
Wild Cub,Straight No Turns (Kisses Remix),265,12,5/7/2014
Wild Cub,Thunder Clatter (Twin Shadow Remix),98,6,5/7/2014
Wild Cub,Put Our Kiss Together (Wild Cub Remix),42,2,5/7/2014
Wild Cub,Thunder Clatter (Madera Remix),42,1,5/7/2014
Wild Cub,The Mother We Share (CHVRCHES Cover),13,2,5/9/2014
Wild Cub,Thunder Clatter,4636,28,5/9/2014
Wild Cub,Straight No Turns (Kisses Remix),265,12,5/9/2014
Wild Cub,Thunder Clatter (Twin Shadow Remix),98,6,5/9/2014
Wild Cub,Put Our Kiss Together (Wild Cub Remix),42,2,5/9/2014

Wild Cub,The Mother We Share (CHVRCHES Cover),14,2,5/10/2014,
Wild Cub,Thunder Clatter,4638,28,5/10/2014,
Wild Cub,Straight No Turns (Kisses Remix),265,12,5/10/2014,
Wild Cub,Thunder Clatter (Twin Shadow Remix),98,6,5/10/2014,
Wild Cub,Put Our Kiss Together (Wild Cub Remix),42,2,5/10/2014,
Wild Cub,The Mother We Share (CHVRCHES Cover),14,2,5/10/2014,
Wild Cub,Thunder Clatter,4638,28,5/10/2014,
Wild Cub,Straight No Turns (Kisses Remix),265,12,5/10/2014,
Wild Cub,Thunder Clatter (Twin Shadow Remix),98,6,5/10/2014,
Wild Cub,Put Our Kiss Together (Wild Cub Remix),42,2,5/10/2014,